,car_model
0,2008
1,206
2,207
3,208
4,307
5,308
6,320I
7,408
8,500
9,A3
10,A4
11,AGILE
12,AIRCROSS
13,AMAROK
14,ARGO
15,ASTRA
16,ASX
17,BRAVO
18,C-180
19,C3
20,C4
21,C4 CACTUS
22,CAPTIVA
23,CAPTUR
24,CELTA
25,CERATO
26,CITY
27,CIVIC
28,CLASSIC
29,CLIO
30,COBALT
31,COMPASS
32,COOPER
33,COROLLA
34,CORSA
35,CR-V
36,CRETA
37,CRONOS
38,CROSSFOX
39,CRUZE
40,DOBLO
41,DUCATO
42,DUSTER
43,ECOSPORT
44,ESCORT
45,ETIOS
46,FIESTA
47,FIORINO
48,FIT
49,FLUENCE
50,FOCUS
51,FOX
52,FRONTIER
53,FUSCA
54,FUSION
55,GOL
56,GOLF
57,GRAND SIENA
58,HB20
59,HB20S
60,HB20X
61,HILUX
62,HR-V
63,I30
64,IDEA
65,IX35
66,JETTA
67,JOY
68,KA
69,KA+
70,KICKS
71,KOMBI
72,KWID
73,L200
74,LINEA
75,LIVINA
76,LOGAN
77,MARCH
78,MASTER
79,MEGANE
80,MERIVA
81,MOBI
82,MONTANA
83,MONZA
84,NIVUS
85,ONIX
86,OPALA
87,OUTLANDER
88,PAJERO
89,PALIO
90,PARATI
91,PASSAT
92,PICANTO
93,POLO
94,PRISMA
95,PUNTO
96,Q3
97,RANGE ROVER
98,RANGER
99,RENEGADE
100,S10
101,SANDERO
102,SANTA FE
103,SANTANA
104,SAVEIRO
105,SENTRA
106,SIENA
107,SORENTO
108,SPACEFOX
109,SPIN
110,SPORTAGE
111,SPRINTER
112,STRADA
113,T-4
114,T-CROSS
115,TIGUAN
116,TORO
117,TRACKER
118,TUCSON
119,UNO
120,UP!
121,VECTRA
122,VERSA
123,VIRTUS
124,VOYAGE
125,X1
126,XSARA
127,YARIS
128,ZAFIRA
